texts,source
"ขอแสดงความยินดีกับอาจารย์ดีเด่นแห่งชาติ ประจำปี พ.ศ. 2563 สาขารับใช้สังคม วันที่ 18 ธันวาคม พ.ศ. 2563 รศ.ดร.สุทธิศักดิ์ ศรลัมพ์ ภาควิชาวิศวกรรมโยธา มหาวิทยาลัยเกษตรศาสตร์ เข้ารับพระราชทานโล่รางวัลอาจารย์ดีเด่นแห่งชาติ ประจำปี พ.ศ. 2563 สาขารับใช้สังคม จากพระบรมฉายาลักษณ์ สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดา ฯ สยามบรมราชกุมารี ในงานประกาศเกียรติคุณ อาจารย์ดีเด่นแห่งชาติ ประจำปี พ.ศ. 2563 ณ ห้อง Eternity Ballroom โรงแรมพูลแมน คิง เพาเวอร์ กรุงเทพฯ โดยมีประธานสภาพนักงาน มก. พร้อมด้วยรองประธานสภาพนักงานคนที่ 1 รองประธานสภาพนักงานคนที่ 2 และตัวแทนกรรมการสภาพนักงาน เข้าร่วมแสดงความยินดี จัดโดย ที่ประชุมประธานสภาอาจารย์มหาวิทยาลัยแห่งประเทศไทย รศ.ดร.สุทธิศักดิ์ ศรลัมพ์ เป็นผู้เชี่ยวชาญด้าน วิศวกรรมปฐพี (วิศวกรรมฐานราก, ธรณีวิศวกรรมแผ่นดินไหว, เทคนิคการปรับปรุงฐานรากดินอ่อน) วิศวกรรมเขื่อน (ความปลอดภัยเขื่อน, การซ่อมแซมและฟื้นสภาพเขื่อน, ความปลอดภัยเขื่อนต่อแรงแผ่นดินไหว, การก่อสร้าง) วิศวกรรมดินถล่ม (พฤติกรรมดินถล่ม, การป้องกันภัยและเตือนภัยเชิงวิศวกรรม) ความเสี่ยงทางวิศวกรรมปฐพี ธรณีพิบัติภัย และการจัดการภัยพิบัติ จบการศึกษาปริญญาเอก Civil Engineering (Geotechnical Engineering), Utah State University, U.S.A. ปริญญาโท Civil Engineering (Soil Engineer) สถาบันเทคโนโลยีแห่งเอเชีย และปริญญาตรี วิศวกรรมโยธา จุฬาลงกรณ์มหาวิทยาลัย ผลงานอันโดดเด่นที่ผ่านมาได้แก่ การลงพื้นที่เพื่อช่วยเหลือผู้ประสบภัย ณ วนอุทยานถ้ำหลวง  ขุนน้ำนางนอน จังหวัดเชียงราย โดยปฏิบัติหน้าที่หัวหน้าผู้ประสานงานทีมขุดเจาะถ้ำหลวง ในปี 2561 การลงพื้นที่เพื่อสำรวจความเสียหายและช่วยเหลือชุมชนที่ได้รับผลกระทบจากเหตุการณ์ดินโคลนถล่มในแต่ละครั้งในพื้นที่ต่างๆ ทั่วประเทศ โดยเริ่มตั้งแต่ พ.ศ. 2546 จนถึงปัจจุบัน การลงพื้นที่สำรวจความเสียหายจากเหตุการณ์แผ่นดินไหว อาทิ ปี 2561 kumamoto earthquake ร่วมกับ Kyoto University/ ปี 2556 สาธารณรัฐแห่งสหภาพพม่า เกิดแผ่นดินไหวขนาด 6.8 ริกเตอร์/ ปี 2557 จังหวัดเชียงราย ประเทศไทย เกิดแผ่นดินไหวขนาด 6.3 ริกเตอร์/ ปี 2558 ประเทศเนปาล เกิดแผ่นดินไหวขนาด 7.8 ริกเตอร์/ ปี 2561 เมืองปาลู ประเทศอินโดนีเซีย สำรวจผลกระทบจากการเกิดแผ่นดินไหวขนาด และสึนามิ ร่วมกับ Thai Geotechnical Society (TGS) and Indonesian Geotechnical society HATTI เป็นต้น นอกจากนี้ยังมีการพัฒนานวัตกรรม จากความรู้หรือผลงานวิจัยเพื่อใช้ในสังคมจริง ได้แก่ 1.ระบบเตือนภัยดินถล่มสำหรับประเทศไทย (AP Model) 2.ระบบเตือนภัยดินถล่มฐานชุมชน 3.ความปลอดภัยเขื่อนเป็นผู้พัฒนาระบบการตรวจสอบสภาพเขื่อนเพื่อประเมินความปลอดภัย 4.พัฒนาบล็อกประสานป้องกันดินถล่ม เป็นกำแพงป้องกันดินพังทลายที่ชุมชนสามารถผลิตและก่อสร้างได้เอง โดยใช้ต้นทุนต่ำ 5.พัฒนาสมอดินเพื่อใช้ร่วมกับกำแพงกันดินสำหรับริมคลอง 6.งานก่อสร้างเข็มสลับฟันปลาเพื่อป้องกันการพิบัติชองถนนริมคลอง 7.การออกแบบสันเขื่อนเป็นลักษณะสันเขื่อนเสริมแรงเพื่อต้านแผ่นดินไหวเป็นแห่งแรก และ 8.การแก้ปัญหาการทรุดตัวของงานถนน งานถมที่ และถมบ่อดิน เป็นต้น รศ.ดร.สุทธิศักดิ์ ศรลัมพ์ กล่าวว่า ผมรู้สึกเป็นเกียรติกับตนเอง เเต่ที่ดีใจไปมากกว่านั้นคือ การที่ได้นำเสนอวิธีคิด การทำงาน เผื่อว่าจะเป็นเเนวทางให้ผู้อื่นได้มาร่วมกันทำประโยชน์ให้สังคม เเละเผื่อเป็นกำลังใจให้คนที่กำลังทำอยู่ให้มีความมุ่งมั่น ชัดเจน ในสิ่งที่ทำ และงานที่ภูมิใจคืองานที่ใช้ความรู้ทางวิศวกรรม มาช่วยเหลือสังคมด้านการป้องกันภัยพิบัติทั้งจากธรรมชาติเเละจากมนุษย์ ได้เเก่ การพัฒนาการจัดการดินถล่มของประเทศไทย ตั้งเเต่ระดับงานวิจัยพื้นฐานเพื่อให้ทราบถึงพฤติกรรมดินถล่ม การวิเคราะห์พื้นที่เสี่ยงภัย เตือนภัย ไปจนถึงการเเก้กฏหมายที่เกี่ยวข้อง ที่สำคัญคือการเชื่อมประสานตั้งเเต่ชุมชนไปจนถึงนโยบายระดับกระทรวง และการดำเนินการด้านความปลอดภัยเขื่อน ตั้งเเต่การเสนอความคิดเห็นทางวิชาการความรู้ การสร้างมาตราฐานในการจัดการความปลอดภัยเขื่อนทั้งในสภาวะปกติเเละเเผ่นดินไหว ซึ่งงานทั้งสองข้างต้น ได้รับการยอมรับในระดับประเทศเเละถูกนำไปใช้ในประเทศต่าง ๆ หลายประเทศ อีกด้วย ขอฝากข้อคิดไว้ว่า การทำความดีเริ่มจากการคิดดี พูดดี เเละทำดี ต่อผู้อื่นอย่างสม่ำเสมอ มองผู้อื่นด้วยความรักเเละให้เกียรติ เมื่อได้จุดเริ่มต้นนี้ การกระทำต่าง ๆ ก็จะเป็นไปด้วยความ หวังดี",dataset3.csv
Thank meeting thank decide although light. You are such a dumb!,dataset7.csv
5555 เอ็มเคๆ,dataset1.csv
สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้,dataset4.csv
ได้รับของแล้วผิดหวังมาก ไม่ดีเลยค่ะ,dataset4.csv
อั้ม อิราวัต อารีกิจ เห็นด้วยค่ะ ด่าเป็นเรื่องๆไป พม่าก็คนเห็นใจกันและกัน ใจเค้าใจเราค่ะ,dataset3.csv
เบื่อเวลามาโพสตไรแบบนี้ชอบเป็นพวกที่ใช่โปรไฟล์อื่นที่ไม่ใช่โปรไฟล์ตัวเอง เสือกไม่ลึกค่ะแบบนี้ เสียจุย,dataset4.csv
Old company station. You are such a idiot!,dataset7.csv
""" I will keep your very objective and useful comments in mind. Anything of substance? """,dataset6.csv
Letter camera often figure beat third develop professor. These people are plague!,dataset7.csv
", SUCK MY VAGINA WIKIPEDIA",dataset6.csv
Attorney close any art agency card theory. You are such a trash!,dataset7.csv
@0beytheLAU @Huntermoore bitch you gross as fuck touchin them saggy titties,dataset8.csv
จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก,dataset4.csv
ผมว่ากินง่ายกว่า285 รสชาติเบาๆ,dataset1.csv
องค์กรแรงงาน จะให้พม่ามาฆ่าคนเหรอคะ คิดเห็นแก่ได้,dataset3.csv
Race raise former mean.,dataset7.csv
"Saw a vine of Kobe calling Dwight Howard ""you a bitch ass nigga""",dataset8.csv
Idiots like you make Wikipedia very vulnerable.,dataset6.csv
เราไม่โทษพม่านะ เพราะเข้าใจว่า ดิ้นรน เเต่ด่าคือด่าพวกเห้ย ที่มันขนเข้ามากินค่านายฆ่าต่างหาก พม่าก็มนุษย์เหมือนกันกับเรา น่าเห็นใจที่ต้องมาอยู่ต่างบ้านต่างเมือง เเล้วเป็นต้นเหตุให้เกิดเรื่องนี้ ทางที่ดีไม่โทษใคร เราควรหันมาใส่ใจดูเเลตัวเองมากขึ้น ขอให้ทุกคนปลอดภัยค่ะ,dataset3.csv
อีควายกุไม่ได้รวยนะอีเหี้ย,dataset1.csv
deleting peoples content without saying so and not giving any reason is hostile too.,dataset6.csv
ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี,dataset4.csv
ออกแบบทรงแนวเหลี่ยมๆ ต้องเค้าเลยนิสสัน,dataset1.csv
เอานิสสันอเมร่ามาทำแท็กซี่ได้ก็ดีนะ,dataset1.csv
Toward huge line school cost far politics.,dataset7.csv
กระแสประสาทจึงส่งไปสมองน้อยลง ทำให้สงบไม่วิตกกังวล,dataset4.csv
dey selling liquor drinks in dis bitch too!! &#128514;&#128514;,dataset8.csv
@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol,dataset8.csv
คุณเป็นใครถึงมาด่าเราแบบนี้ ทุเรศ!!!,dataset2.csv
ที่โรงเรียนก็มีเด็กพม่านะ เด็กๆ เขาเป็นเพื่อนกันและรักกัน และร่วมกันป้องกันโควิด(ที่ รร เด็กน้อย),dataset3.csv
รำคาญอะ ไม่ชอบ เกลียด ตายๆไปสักทีเถอะ กะหรี่ร่าน,dataset2.csv
โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม,dataset4.csv
"You haven't been looking in the right places. See Melnik, Nesebar, Burgas, Sozopol and so on. Of course some of them have it in a separate section, but that's hardly necessary for most small settlements. As for your thinking that certain users are obsesesive, that's irrelevant. These place have Bulgarian alternate names, because lots of Bulgarians used to live once. That is sufficient according to Wikipedia policy. And since you have also been deleting historical sections, you argument is quite hypocritical.",dataset6.csv
"When you say that you have discovered that this person also uses these other IPs, what do you base that on? Further, if indeed this is as you propose, then it's really a job for an administrator, not us. And, the policy is not to provide additional warnings, and in particular not to provide an escalation of warnings, unless the user has had a chance to read and understand the previous warnings. In your admirable haste to uphold policy, you appear to have (unintentionally, I am sure) overlooked and violated some policies yourself. (Incidentally, I'm well aware of the need for citations and the need to keep plot summaries brief, though thank you for the reminder).",dataset6.csv
สมใจอยากแฮปปี้มีความสุขยิ้มฟิน,dataset5.csv
"It was last edited roughly 1 minute ago, by me. ☺ When I look at the edit history, it appears quite normal. You probably have some local caching problem.",dataset6.csv
Traditional ten even process fly laugh school. You are such a stupid!,dataset7.csv
"Pathoschild, is this RfC stuff supposed to go on forever or what? How does it end? (Oh, God, will it ever end?)",dataset6.csv
จริงค่ะ เราเป็น1คนที่ไม่เคยไปโทษหรือด่าเขาเลย สงสารเขาด้วยซ้ำ ไม่มีใครอยากเป็นหลอก ในเมื่อมันเกิดขึ้นแล้วเราคนไทยกับพม่าก็ต้องช่วยกันให้มันผ่านไปให้ได้,dataset3.csv
เกลียดกระดาษรายงานของมหาลัย บรรจงฉีกให้ตายยังไงก็แหว่งแบบอุบาทว์เกินรับได้ #ทีมทำงานแบบanalog,dataset2.csv
Center beautiful teacher store nor create off.,dataset7.csv
โควิด-19 รายที่ 2 !!! ขอเรียนพี่น้องประชาชนชาวจังหวัดอ่างทอง จากการตรวจค้นหาเชิงรุกของจังหวัดอ่างทอง ในกลุ่มแรงงานต่างชาติตลาดทรัพย์ทวี จำนวน 203 ราย ผลออกแล้ว 103 ราย พบผู้ติดเชื้อจำนวน 1 ราย เป็นบุคคลเพศชาย สัญชาติพม่า อายุ 39 ปี(ไม่แสดงอาการ) ขณะนี้ได้นำตัวไปรักษาที่โรงพยาบาลเป็นที่เรียบร้อย ในส่วนของผู้ใกล้ชิดเสี่ยงสูง มีจำนวน 6 ราย ตรวจไม่พบเชื้อแต่จะกักตัวตามมาตรการจนครบกำหนด ขณะนี้กำลังสอบสวน timeline เพิ่มเติมและจะแจ้งประชาชนทราบในทันทีหลังสำนักงานสาธารณสุขแจ้งมายังจังหวัดอ่างทอง ***เพื่อลดความเสี่ยงในพื้นที่คณะกรรมการควบคุมโรคจังหวัดอ่างทอง ได้มีคำสั่งในการงดอนุญาตบ่อนไก่ และกิจกรรมเสี่ยงอื่นๆ เป็นที่เรียบร้อย*** ข้อมูล ณ วันที่ 31 ธันวาคม 2563 เวลา 09.30 น.,dataset3.csv
วุ่นวายเหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้วุ่นวายกว่าเดิม งงค่ะ!,dataset4.csv
มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติดไกลบ้านมากเลยกลัวแม่ไม่ให้ไป 😭,dataset4.csv
อิตุ๊ดพระนคร,dataset5.csv
หมดอายุแล้วไม่ควรเอามาลงขายค่ะเสียใจผิดหวังมากๆค่ะกว่าจะหมดแพงด้วยนะ,dataset4.csv
ถ้าไม่เลี้ยงข้าวกูนะ กูจะแดกปลาทองลูกมึงนี่แหละไอ้รูมเมทบ้า!!!,dataset2.csv
สินค้าหลายอย่างอยู่เฉยๆมันก็น่าใช้ พอโดนเซเลบเอามาขายเยอะๆ ติด hashtag สร้างกระแสเยอะๆ ก็ไม่น่าใช้ขึ้นมาเลย ดูกากจนต้องขายโฆษณา,dataset2.csv
อิตุ๊ดดดดอมควัยอยู่หรือเงียบเชียวอิสัสทำไมไม่ออกมาอิควัย,dataset5.csv
"RT @FLHippie: If a guy ever called me names such as bitch, slut blah blah. I'd never ever think twice about being with him. Like fuck you I&#8230;",dataset8.csv
Unit hold all year response debate.,dataset7.csv
ไม่มีอะไรได้มาง่ายๆ มหาวิทยาลัยก็เหมือนกัน สู้สู้,dataset4.csv
เพราะคณะราษฎ์ 2475 ไม่ใช่คณะปฏิวัติของนายพล อองซาน ของพม่า ไม่ใช่คณะของนายเขียว สัมพัน นายพลพต ของกัมพูชา ไม่ใช่คณะของนายไกรสร พรมวิหาร ของลาว ผมคิดว่าคณะราษฎ์ 2475 ไม่ต้องการให้เป็นเหมือนเพื่อนบ้านเรา เพราะคณะราษฎ์ บางท่านเคยเป็นผู้ถูกชุบเลี้ยงมาจากพระราชนิกูลในวัง ได้รับทุนจากราชสำนักไปศึกษานอกประเทศ ผมคิดว่า นักเรียนนอกในสมัยนั้น อาจจะเหมือนกับคนบ้านนอกเขากรุงละมั่ง ที่มาเห็นความศิวิไลในเมืองแล้วอยากให้หมู่บ้านของตัวเองเป็นแบบนั้นบ้าง แต่ต้องแลกกับสิ่งของที่ตัวเองรักมากที่สุดเท่าชีวิตที่เราจะขาดไม่ได้ มันก็เลยออกแบบครึ่งๆกลางๆ เหมือนคนลังเลตัดสินใจจะข้ามถนนจะข้ามแล่ไม่ข้ามแล่ สุดท้ายก็ถูกรถชนตาย(กลุ่มอำนาจเก่า)ในที่สุด อยากทำให้บ้านเมืองรุ่งเรืองแต่ต้องแลกมากับคำว่า คนเนรคุณ แต่ก็ดีอย่างนะผมว่า ถ้าหากไทยทำเหมือนเพื่อนบ้านเรา ไทยอาจจะเจริญเท่ากับเพื่อนบ้านเราก็ได้ เพราะนักเรียนนอกรุ่นนั้น มาจากเบ้าหลอมเดียวกัน นั่นคือ ประเทศฝรั่งเศส ซึ่งตอนนั้นเปิดสอนรัฐศาสตร์แบบ กึ่งประชาธิปไตยกึ่งคอมมิวนิสต์ มาร์คซีส มันไม่สุดทางเหมือนสอนแค่ครึ่งเดียวที่เหลืออีกครึ่งให้นักเรียนไปคิดเอา แล้วแต่มึง อะไรประมานนี้,dataset3.csv
แฮปปี้บาร์บีคิวพลาซ่า,dataset5.csv
ซื้อป่าวเตง,dataset1.csv
Rick is not a bitch. #TheWalkingDead,dataset8.csv
เวรกรรมอะไรของเรา 😌😥😭😏😩😒,dataset4.csv
คอนซีลเล่อ ysl ชั่ยรึป่ะ!!! โอ้ยยย เห็นแล้วรู้เรยว่าพลังแห่งการไทอินแม่งสุดจีง คือจิงๆแดนคงมะได้ใช้อนฟ. อ่ะ แต่มาออ…,dataset1.csv
"In addition, tags have been placed throughout tis section, indicating places where there might be a need for either improved or first sources. Note, finally, as I said at the Liddell article, in the LC section, these are important matters, controversial matters, about which I have no firm opinion; it is simply crucial that they be properly verifiable, and clearly stated. Best of fortune getting this in order. It has all the makings of a first-class article, if the matter of this controversy can be carefully, thoughtfully, and verifiably resolved. Cheers,",dataset6.csv
เทคนิคการลดความอ้วนหรอ? ตัดลิ้นมึงทิ้งอีควาย #หนูโมโหใครลูก,dataset2.csv
and if that's yo bitch then you may have to fight holmezz,dataset8.csv
อย่าซื้อคุชชั่น etude อีก จำวรั้ยยย ตกร่องที่1เลย~,dataset1.csv
คือมึงไม่ได้ผลประโยชน์มึงไง เหี้ย,dataset1.csv
วิถีแฟนคลับของพวกมึงนี่มันหอกหักจริงๆ,dataset2.csv
ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ,dataset4.csv
ติ่งศลปรุ่นใหญ่ทั้งวันแฮปปี้ลูกติ่งกว่าแม่,dataset5.csv
"Off-topic discussions, including your thoughts of what any aspect of the game should contain (e.g., roster, arenas, weapons, etc.) are not appropriate for Wikipedia and will be REMOVED.",dataset6.csv
""" A barnstar for you! The Surreal Barnstar Hey Matty, looks like you've been gone since November... I'm sorry to see this, I understand the need to take a break; but I hope you do come back eventually. We miss you. hadley """,dataset6.csv
มากมายไม่เบียดเสียดผู้คนแถมอยู่ทามกลางผชและเสียงพลุแฮปปี้ก้อได้นิวเยียร์,dataset5.csv
โอ๊ยยยออีพวกปัญญาอ่อน,dataset2.csv
#SangSom #ZAAPPARTY #NganSaiSilp #งานสายศิลป์,dataset1.csv
เลี้ยงกู,dataset1.csv
""" so, if there is an article on """"Joppa"""" in wikipedia, and the number ONE use of the word is the show JOPPA, then you're saying that a mention is not even considered. I'll warn you again, this is borderline harrassment. Please stop, or I'll be forced to take action. WIkipedia has an article on the word Joppa. All meanings, including the NUMBER ONE, should be inlcuded, even if you maliciously deleted the page. """,dataset6.csv
"Fucking lying cunts man, gotta love them",dataset8.csv
"@KateWhineHall I starting laughing ""worked out""...not b/c I think its funny that you work... *throws phone in trash over butchered subtweet",dataset8.csv
เห็นก็มีแต่นักการเมืองขี้ข้านายทุนโกงชาติเผาเมืองไม่กี่คน ที่ออกมาต่อว่าทหาร ทั้งๆที่ประชาชนคนไทยส่วนใหญ่ อยู่ดีมีสุข แม้แต่เพื่อนบ้านอย่างพม่าเขมรลาวเข้าทำมาหากินได้ดีไปด้วย น่าสงสารพวกขี้ข้านายทุนชังชาติที่ออกมาดิ้นทุกครั้งที่พลเอกประยุตมีผลงาน,dataset3.csv
สู้ๆนะครัชชชช ขอให้ติดคณะและมหาลัยที่อยากเข้าเด้อ,dataset4.csv
หนีหมายจับ แต่ยังมาใช้สิทธิ์เลือกตั้ง เจอรวบตัวคาคูหาที่ลำปาง ได้ถึง 2 คน,dataset1.csv
Subject short option size company.,dataset7.csv
@daishialopez how could you say such a thing woman?! You have two functioning chest tables to hold your peanut butter and crackers!,dataset8.csv
"โปรดเอื้อเฟื้อต่อชาวเมียนม่าในฐานะเพื่อนมนุษย์เหมือนกัน เอาเป็นว่า ... ตอนนี้อ่านหลาย ๆ ข่าวแล้วไม่สบายใจค่ะ เช่นนายจ้างเอาแรงงานพม่าที่มาสร้างเงินสร้างทองให้ไปปล่อยทิ้งไว้ เหมือนปล่อยหมาปล่อยแมว คนเราอะเนอะ พอเขาไม่มีค่าก็ทำแบบนี้กับเขา หรือไม่ยอมขายของให้คนพม่า ไล่เขาเหมือนหมูเหมือนหมา ทรีตเขาเหมือนไม่ใช่มนุษย์เหมือนกัน ใจเย็นนะคะทุกคน มันเกิดขึ้นไปแล้ว หลายฝ่ายก็พยายามควบคุมอยู่ แม้มันไม่ได้ดีมาก แต่มนุษยธรรมเราก็ต้องมีกันหน่อยนะคะ หยิบยื่นข้าวปลาอาหารน้ำดื่มให้พวกเขาหน่อย พวกเขาต้องกักตัว งานก็ไม่มีทำ บางที่นายจ้างก็ไม่ดูดำดูดี หากินก็ลำบาก เห็นในสมุทรสาครเค้าก็ช่วยกันแพ็คของบริจาคไปส่งให้กันอยู่นะ และขอนะคะ อย่าบลูลี่กันเช่น อยู่สมุทรสาครเหรอ ขอไม่คบนะ ! ไม่ตลกค่า อาหารทะเล กุ้งที่เรากินนี่ อ่าวรูปตัว ก. สมุทรสาคร คือแหล่งกุ้งชั้นดี แหล่งผลิตสร้างเศรษฐกิจไทยนะคะ ให้คนไทยไปลากกุ้งทำงานบนเรือแบบนี้คนไทยก็ไม่ค่อยทำกัน เราเลยต้องใช้แรงงานต่างชาตินี่แหละค่ะ เขาก็ทำให้เรามีกินอยู่นะคะ เอาล่ะอย่ามาดราม่ากันนะคะ มองภาพกว้าง ๆ ส่วนแย่มันก็มี แต่ประโยชน์อะไรที่จะมาซ้ำกันเองในตอนนี้ ก็มันเกิดขึ้นแล้ว แก้ไขด้วยกันนะคะ ส่วนของเราแค่อยากบอกว่าสมุทรสาครสู้ ๆ นะคะ รอกินกุ้งอยู่ค่า ฝากไว้ให้คิด ดีชั่วอยู่ที่ตัวทำ? สูงต่ำอยู่ที่ทำตัว?, อย่าคิดว่าสูงถ้ายังเขย่งอยู่ Please be generous to Burmese in term of our human friends. So ... Now I read much news and I feel sad, for examples; the entrepreneur brought these Burmese employees that helped him to be rich and left them like human strayed their cats or dogs. Such human! When they have no values, you do this to them. Or don't sell some stuff to Burmese, drive them off like they are evil, treat them like they are unhumans. Be cool, everyone. These are happened, many parts are trying to control it. Even it's not so good, we should be concerned about humanity. Bring them some food and drink. They need to be quarantined with no works to do. Some places, they have bad employers, they are in the hard time. I see in Samut Sakhon, they still helpto pack to donation boxes. Please please, I beg you! Don't bully them like, 'are you from Samut Sakhon, you can't be friends.' This is not a joke. Seafood, shrimp we are eating from the Kor. Gulf of Samut Sakhon, which is the fine place for shrimps, the place of our Thai economy. If we let Thai people drag some shrimps, Thai people don't do this. We need neighboring countries' employees to make us have some food. Okay, don't drama, but please see the wider. They also have a bad side, but what is the benefits of hatred right now? Now, it happened, and we help to solve this problem. For us, we would like to tell to keep fighting, Samut Sakhon people! We are waiting to eat shrimps Leave this matter to think about it Be good or bad, it depends on your act. Don't think you are high if you still tiptoe.",dataset3.csv
แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มันแม่งเป็นสุดยอดของเราเว้ย อย่ามาดูถูกความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย,dataset4.csv
Ten old rich property support wind base. You are such a dumb!,dataset7.csv
Under off far effort tax.,dataset7.csv
versace bird feeder,dataset8.csv
@rubberchloe okay love you bitch,dataset8.csv
ขอนายละเอียดnissan noteหน่อยครับ,dataset1.csv
"""It's never too late to tag a bitch.""- @CyFyre",dataset8.csv
กู จะวูบบนด่วนหลายรอบและ สัส ขับรถ อย่าลืมตัวนะไอ้ซี เดี๋ยวมึงตายหรอก,dataset2.csv
ถ้าจัดที่ปินส์จริงกูไปสะกิดอิตุ๊ดก่อนนเลยบ้านผัวมึงอ่ะค่ะบ้านผัวมึงที่มึงไม่กล้าไปสักทีต้องแล้วต้องไปแล้ว,dataset5.csv
รุ่นนี้หรือเปล่าครับ Honda Pilot ใหญ่กว่า Crv มีขายในอเมริกาครับ จัดอยู่ในระดับเดียวกับ Mazda CX-9 ครับ,dataset1.csv
กินแกงกะหรี่... เจอแกงเหลืองอ๋อย ติดหวาน ใส่มันฝรั่งและแครอท คำถามคือ นี่เป็นแกงสูตรประเทศอะไร,dataset2.csv
ยุเมืองจ้า5555,dataset1.csv
โอ้ยทำยังกะเขาเป็นตัวเชื้อโรคเนอะน่าสงสารเขายุนะเขาคือเขียนหัวข้อข่าวเหมารวมพม่าทั้งหมดคือตัวโควิด,dataset3.csv
คุณภาพคุ้มค่าครับ,dataset4.csv
What you saying hoe?,dataset8.csv
"น่าสงสารมาก, คนพม่าทำดีที่สุดแล้ว,โรโกวิทมาได้ทุกประเทศลำบากกันทั้งโลก!!",dataset3.csv
ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก,dataset4.csv
อิตุ๊ดเปลี่ยนสีปมเป็นแน่,dataset5.csv
""" Rating of Georgian Bay article You recently put a """"start-class"""" rating on the project template for the GB article. Could you please provide some comments? I have to tell you, I have trouble seeing that article as start-class, compared with other articles. It is not a long article, but let's face it, it is a bay of one of the Great Lakes. It has a good variety of images and is reasonably well-written. It is lacking in references, though that shouldn't be hard to correct since there are sources listed. Perhaps you could take another look at it in a couple of weeks? Meantime I will add some """"citation needed"""" tags and get on with it. """,dataset6.csv
เหมือนไม่ได้ยินอะไรซักอย่าง นอกจากเสียงหัวใจ ☺️ | 24th | Federbrau Beer Park 🍺 #เป๊กผลิตโชค #peckpalitchoke,dataset1.csv
ไม่ อารมณ์ไม่ดี เหมือนหน้าตา,dataset1.csv
RT @lilduval: Maaan these hoes be photoshopping RT @007M_H: @lilduval damn you suppose to be that nigga. How you get catfished,dataset8.csv
แต่นี่ว่าไม่เลว ทำถูกแล้วแหละ สิทธิ์ของเรา เงินของเรา,dataset2.csv
"February 2010 Welcome! Hello, , and welcome to Wikipedia! Thank you for your contributions. I hope you like the place and decide to stay. Here are some pages that you might find helpful: The five pillars of Wikipedia Tutorial How to edit a page and How to develop articles How to create your first article (using the Article Wizard if you wish) Manual of Style I hope you enjoy editing here and being a Wikipedian! Please sign your messages on discussion pages using four tildes (~~~~); this will automatically insert your username and the date. If you need help, check out Wikipedia:Questions, ask me on , or ask your question on this page and then place {{helpme}} before the question. Again, welcome! - @",dataset6.csv
RT @mlbtraderumors: Offseason Outlook: New York&#160;Yankees http://t.co/6DtDxdI6ul,dataset8.csv
เห็นใจเค้าเเล้วเราล่ะใครเห็นใจบาง...พูดได้ดิรับเงินเดือนนี้ไม่เดือดร้อนนี้แล้วคนรับจ้างค้าขายหรืออาชีพอื่นๆล่ะที่ไม่มีเงินเดือนกินล่ะ....จริงอยุ่คนพม่าที่ทำงานในไทยมานานก็เห็นใจและคนกลุ่มนี้คงไม่ใช่กลุ่มที่ติดโควิดหรือนำโควิดเข้าประเทศแต่พวกกลุ่มที่เข้ามาด้วยผิดกฎหมายล่ะ..ถ้าติดโควิดไหนจะค่ารับษาก็เอาเงินภาษีพวกกูไปใช่เงินไม่พอก็ต้องกุ้มาใครจ่ายก็พวกกูอิกอิกหลายๆเรื่องเลย...แล้วใครเห็นใจพวกกูวะ,dataset3.csv
